id,participant,classtype,subjectwise,trialwise
353,4ca2dc29-ffda-4758-b003-2adfa7f64a2c,DemoExperiment,"{'date': '2020_01_22', 'time': '11_29_15', 'age': '46', 'gender': 'male', 'feedback': 'No comments.', 'initial_strategy': 'Both candidates were equally qualified, so the initial recommendation was always equal.', 'final_strategy': 'The final recommendation was based on the opinions of the two individuals interviewed.', 'instructions_duration': 675552, 'task_duration': 366126, 'engaging': '5', 'difficult': '5', 'pol_orient': '1', 'token': 'EY4Y8JNMBL'}","{'rand_cond_order': [1, 2, 3], 'rand_res_stored': [[0, 1], [0, 1], [1, 0]], 'responses': ['64.99999999994', 11.020408163265307, '73.18181818175', 72.24489795918367, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '49.54545454541', 11.020408163265307, '68.6363636363', 47.755102040816325, '50.4545454545', 35.51020408163265, '59.5454545454', 47.755102040816325, '50.4545454545', 35.51020408163265, '68.6363636363', 60], 'random_pos_winner': 1}"
354,058d3c4e-ff94-4b28-a2cf-9f806972afac,DemoExperiment,"{'date': '2020_01_22', 'time': '17_31_31', 'age': '43', 'gender': 'male', 'feedback': 'interesting', 'initial_strategy': 'test results and always the candidate on the right scored better on the first test', 'final_strategy': 'i saw the beliefs of the two voters', 'instructions_duration': 914795, 'task_duration': 297464, 'engaging': '10', 'difficult': '5', 'pol_orient': '3', 'token': 'P1Y3L4SMVV'}","{'rand_cond_order': [2, 1, 3], 'rand_res_stored': [[1, 0], [1, 0], [1, 0]], 'responses': ['64.99999999994', 11.020408163265307, '68.6363636363', 42.85714285714286, '50.4545454545', 60, '52.27272727268', 61.224489795918366, '48.63636363632', 63.673469387755105, '53.18181818177', 68.57142857142857, '52.27272727268', 62.44897959183674, '60.45454545449', 82.04081632653062], 'random_pos_winner': 1}"
355,e9bff596-209f-49be-a680-24afb18bea23,DemoExperiment,"{'date': '2020_01_22', 'time': '11_59_56', 'age': '28', 'gender': 'male', 'feedback': 'N/A', 'initial_strategy': '    In this study about some fun games and that game described two characters and ask opinion about that characters and than ask some another question about that characters.', 'final_strategy': '    In this study strategy is some what difficult to understand what that researcher saying and than playing automatic quiz.', 'instructions_duration': 260459, 'task_duration': 485507, 'engaging': '5', 'difficult': '1', 'pol_orient': '4', 'token': '8E4R70K018'}","{'rand_cond_order': [3, 2, 1], 'rand_res_stored': [[1, 0], [1, 0], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '71.36363636357', 23.26530612244898, '59.5454545454', 20.816326530612244, '60.45454545449', 13.46938775510204, '71.36363636357', 11.020408163265307, '59.5454545454', 25.714285714285715, '61.36363636358', 11.020408163265307, '54.99999999995', 14.693877551020408], 'random_pos_winner': 0}"
356,20274f8f-eaca-4e68-9df4-2b7e288d58bf,DemoExperiment,"{'date': '2020_01_22', 'time': '12_06_43', 'age': '28', 'gender': 'female', 'feedback': 'no', 'initial_strategy': 'Whoever passed the test first was the person i thought was better', 'final_strategy': 'I tried to use the chart with the arrows to really help but many of these candidates were equally qualified. ', 'instructions_duration': 569982, 'task_duration': 242510, 'engaging': '9', 'difficult': '10', 'pol_orient': '3', 'token': '753VU5VPMB'}","{'rand_cond_order': [3, 2, 1], 'rand_res_stored': [[1, 0], [1, 0], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '59.5454545454', 85.71428571428572, '40.45454545451', 35.51020408163265, '40.45454545451', 33.06122448979592, '58.63636363631', 62.44897959183674, '54.99999999995', 83.26530612244898, '49.54545454541', 45.30612244897959, '52.27272727268', 52.6530612244898], 'random_pos_winner': 1}"
357,ec1c3215-d8db-48ef-b73f-e3343fdd1346,DemoExperiment,"{'date': '2020_01_22', 'time': '12_11_10', 'age': '33', 'gender': 'female', 'feedback': 'Thank you', 'initial_strategy': 'Based on there test results. ', 'final_strategy': ""Based on test results, the key person's choice  and My judgement based on the graphs. "", 'instructions_duration': 714803, 'task_duration': 1311517, 'engaging': '5', 'difficult': '6', 'pol_orient': '4', 'token': 'G1IW0Y643N'}","{'rand_cond_order': [1, 3, 2], 'rand_res_stored': [[1, 0], [1, 0], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '76.81818181811', 67.34693877551021, '68.6363636363', 66.12244897959184, '65.90909090903', 69.79591836734694, '52.27272727268', 64.89795918367346, '63.18181818176', 78.36734693877551, '50.4545454545', 61.224489795918366, '62.27272727267', 84.48979591836735], 'random_pos_winner': 1}"
359,fcd84452-9f07-445b-a585-a9f96a2b4e31,DemoExperiment,"{'date': '2020_01_22', 'time': '12_55_41', 'age': '32', 'gender': 'male', 'feedback': 'No.', 'initial_strategy': 'I looked at who performed better on tests', 'final_strategy': ' I read the interviews, trying to note if one person influence the other and went from there.', 'instructions_duration': 823645, 'task_duration': 739675, 'engaging': '9', 'difficult': '5', 'pol_orient': '4', 'token': 'HODZTQYIF6'}","{'rand_cond_order': [1, 3, 2], 'rand_res_stored': [[0, 1], [1, 0], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '65.90909090903', 78.36734693877551, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '50.4545454545', 84.48979591836735, '69.54545454539', 84.48979591836735, '50.4545454545', 83.26530612244898, '55.90909090904', 91.83673469387756, '46.81818181814', 56.3265306122449, '73.18181818175', 99.18367346938776], 'random_pos_winner': 1}"
360,39e9841b-e738-4bc9-83eb-147a507863f1,DemoExperiment,"{'date': '2020_01_22', 'time': '13_37_02', 'age': '58', 'gender': 'male', 'feedback': 'no', 'initial_strategy': 'My picks were all to the right.', 'final_strategy': 'I looked at the local citizens preferences.', 'instructions_duration': 819952, 'task_duration': 580762, 'engaging': '5', 'difficult': '3', 'pol_orient': '6', 'token': 'ZUQHLGS2VY'}","{'rand_cond_order': [2, 3, 1], 'rand_res_stored': [[1, 0], [0, 1], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '80.45454545447', 100.40816326530613, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '60.45454545449', 120, '38.63636363633', 60, '57.72727272722', 12.244897959183675, '47.72727272723', 79.59183673469389, '27.72727272725', 14.693877551020408, '22.27272727271', 104.08163265306122], 'random_pos_winner': 0}"
361,4f9b43fe-91c0-43e8-8bda-2fd6fe38487c,DemoExperiment,"{'date': '2020_01_22', 'time': '13_55_20', 'age': '40', 'gender': 'female', 'feedback': 'The instructions were a little confusing.', 'initial_strategy': 'I based it on the two people who went to the meetings', 'final_strategy': 'No specific  strategy. I had hoped to hear more about the two running for office to make a better decison.', 'instructions_duration': 545656, 'task_duration': 336821, 'engaging': '7', 'difficult': '8', 'pol_orient': '4', 'token': 'FHJIKYQ8Y9'}","{'rand_cond_order': [3, 1, 2], 'rand_res_stored': [[1, 0], [0, 1], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '81.36363636356', 105.3061224489796, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '51.36363636359', 60, '52.27272727268', 61.224489795918366, '52.27272727268', 60, '64.99999999994', 74.6938775510204, '47.72727272723', 60, '40.45454545451', 60], 'random_pos_winner': 1}"
362,b7103ed3-bbfd-4de6-9097-02765aa83280,DemoExperiment,"{'date': '2020_01_22', 'time': '14_12_23', 'age': '40', 'gender': 'male', 'feedback': 'No, but thanks for asking', 'initial_strategy': ""There really wasn't anything to differentiate them on the initial rating so I gave 50/50"", 'final_strategy': 'I tried to weight the feedback from the debate viewers and how much info they each received. If one person got info from the other on a different debate, I gave them a little more weight', 'instructions_duration': 253405, 'task_duration': 246197, 'engaging': '8', 'difficult': '2', 'pol_orient': '1', 'token': 'BYH11ZKWNI'}","{'rand_cond_order': [1, 2, 3], 'rand_res_stored': [[1, 0], [1, 0], [1, 0]], 'responses': ['64.99999999994', 11.020408163265307, '77.7272727272', 25.714285714285715, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '50.4545454545', 78.36734693877551, '59.5454545454', 11.020408163265307, '50.4545454545', 79.59183673469389, '64.09090909085', 39.183673469387756, '50.4545454545', 79.59183673469389, '54.99999999995', 20.816326530612244], 'random_pos_winner': 1}"
363,7f82c6f2-4213-461a-9216-79fd9a6c6f8d,DemoExperiment,"{'date': '2020_01_22', 'time': '14_14_59', 'age': '28', 'gender': 'male', 'feedback': 'Interesting HIT', 'initial_strategy': 'It was based on how they were initially received ', 'final_strategy': 'I used the recommendations from the locals that attended the debates ', 'instructions_duration': 326855, 'task_duration': 274718, 'engaging': '8', 'difficult': '0', 'pol_orient': '6', 'token': '560Z9ZQ78I'}","{'rand_cond_order': [1, 2, 3], 'rand_res_stored': [[0, 1], [1, 0], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '68.6363636363', 60, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '49.54545454541', 60, '40.45454545451', 96.73469387755102, '49.54545454541', 60, '31.36363636361', 102.85714285714286, '50.4545454545', 60, '31.36363636361', 90.61224489795919], 'random_pos_winner': 0}"
