id,participant,classtype,subjectwise,trialwise
395,eea637e0-192c-4b86-ba86-610115bcdf8a,DemoExperiment,"{'date': '2020_01_26', 'time': '15_07_20', 'age': '35', 'gender': 'female', 'feedback': 'None.', 'initial_strategy': 'Being they both basically had tied, I had to stay neutral.', 'final_strategy': 'I went with the vote of the voters, there always seems to be a clear trend.', 'instructions_duration': 208141, 'task_duration': 216638, 'engaging': '6', 'difficult': '2', 'pol_orient': '2', 'token': '3FMDBSXW39'}","{'rand_cond_order': [1, 3, 2], 'rand_res_stored': [[0, 1], [0, 1], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '82.27272727265', 90.61224489795919, '50.4545454545', 72.24489795918367, '86.8181818181', 96.73469387755102, '50.4545454545', 11.020408163265307, '73.18181818175', 72.24489795918367, '50.4545454545', 11.020408163265307, '86.8181818181', 78.36734693877551], 'random_pos_winner': 1}"
396,daaec0dc-635c-4a06-8463-a4d39b5e7e7b,DemoExperiment,"{'date': '2020_01_26', 'time': '14_13_22', 'age': '40', 'gender': 'female', 'feedback': 'no', 'initial_strategy': 'It was based on my true feelings and from what I read about each candidate.', 'final_strategy': 'It was based on my true feelings and from what I read about each candidate.', 'instructions_duration': 390666, 'task_duration': 239791, 'engaging': '10', 'difficult': '0', 'pol_orient': '1', 'token': 'WYGFFZONVG'}","{'rand_cond_order': [3, 1, 2], 'rand_res_stored': [[1, 0], [0, 1], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '75.90909090902', 31.836734693877553, '65.90909090903', 83.26530612244898, '64.99999999994', 82.04081632653062, '35.90909090906', 39.183673469387756, '14.99999999999', 89.38775510204081, '14.0909090909', 86.93877551020408, '8.63636363636', 91.83673469387756], 'random_pos_winner': 0}"
440,a55c9677-c1dc-4c83-a792-5aabb497e16e,DemoExperiment,"{'date': '2020_01_26', 'time': '19_55_19', 'age': '28', 'gender': 'male', 'feedback': 'No.', 'initial_strategy': 'I went by the selections first then the three people after.', 'final_strategy': 'I went by the interviews.', 'instructions_duration': 204422, 'task_duration': 316174, 'engaging': '10', 'difficult': '2', 'pol_orient': '1', 'token': 'C28ZHI6AFM'}","{'rand_cond_order': [3, 2, 1], 'rand_res_stored': [[1, 0], [1, 0], [1, 0]], 'responses': ['64.99999999994', 11.020408163265307, '77.7272727272', 66.12244897959184, '49.54545454541', 60, '31.36363636361', 47.755102040816325, '49.54545454541', 60, '24.09090909089', 40.40816326530612, '50.4545454545', 60, '26.81818181816', 55.10204081632653], 'random_pos_winner': 0}"
398,749bfe44-66ae-41bb-99b3-177169e00325,DemoExperiment,"{'date': '2020_01_26', 'time': '13_15_49', 'age': '62', 'gender': 'female', 'feedback': 'None.  Thank you.', 'initial_strategy': 'I really looked at what the three locals rated the candidates.', 'final_strategy': 'I looked at the belief and certainty ratings of each of the three locals.  Liz was low.  They did talk with each other so I went with the first two locals', 'instructions_duration': 629100, 'task_duration': 294128, 'engaging': '8', 'difficult': '7', 'pol_orient': '6', 'token': 'GTWEBRLJSC'}","{'rand_cond_order': [3, 2, 1], 'rand_res_stored': [[0, 1], [0, 1], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '73.18181818175', 90.61224489795919, '73.18181818175', 72.24489795918367, '77.7272727272', 90.61224489795919, '54.99999999995', 47.755102040816325, '73.18181818175', 66.12244897959184, '59.5454545454', 60, '68.6363636363', 78.36734693877551], 'random_pos_winner': 1}"
399,57c0ee03-acbe-49ba-bb11-30cbe2e6808c,DemoExperiment,"{'date': '2020_01_26', 'time': '14_19_23', 'age': '39', 'gender': 'male', 'feedback': 'no', 'initial_strategy': 'who got the first award', 'final_strategy': 'I kind of averaged it', 'instructions_duration': 342957, 'task_duration': 249217, 'engaging': '7', 'difficult': '0', 'pol_orient': '7', 'token': 'SO0SLKU37G'}","{'rand_cond_order': [1, 3, 2], 'rand_res_stored': [[1, 0], [0, 1], [1, 0]], 'responses': ['64.99999999994', 11.020408163265307, '74.09090909084', 85.71428571428572, '55.90909090904', 58.775510204081634, '67.72727272721', 86.93877551020408, '39.54545454542', 29.387755102040817, '61.36363636358', 82.04081632653062, '57.72727272722', 46.53061224489796, '80.45454545447', 91.83673469387756], 'random_pos_winner': 1}"
400,eda57408-08f0-4b7d-973d-c14bbaa1faa4,DemoExperiment,"{'date': '2020_01_26', 'time': '15_22_35', 'age': '42', 'gender': 'male', 'feedback': 'Interesting, to say the least.', 'initial_strategy': 'Whomever got the last test trophy, I favored slightly.', 'final_strategy': 'If they went to three different debates, I tended to give those locals more weight.', 'instructions_duration': 391289, 'task_duration': 211398, 'engaging': '4', 'difficult': '3', 'pol_orient': '5', 'token': 'X1UKL3MJFH'}","{'rand_cond_order': [3, 2, 1], 'rand_res_stored': [[1, 0], [0, 1], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '61.36363636358', 74.6938775510204, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '45.90909090905', 29.387755102040817, '33.18181818179', 57.55102040816327, '54.99999999995', 29.387755102040817, '44.99999999996', 50.204081632653065, '56.81818181813', 37.95918367346939, '26.81818181816', 94.28571428571429], 'random_pos_winner': 0}"
401,26bc544f-f637-4456-af5c-3d781f496218,DemoExperiment,"{'date': '2020_01_26', 'time': '12_24_58', 'age': '64', 'gender': 'female', 'feedback': 'It was harder than I thought it would be to pick', 'initial_strategy': 'I went with who won so when they both won two I was 50/50 on who would be better', 'final_strategy': 'I went with who the voters picked since they are the public who will vote', 'instructions_duration': 579385, 'task_duration': 374839, 'engaging': '10', 'difficult': '8', 'pol_orient': '4', 'token': 'MN25TN9BMP'}","{'rand_cond_order': [1, 3, 2], 'rand_res_stored': [[1, 0], [0, 1], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '73.18181818175', 115.10204081632654, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '50.4545454545', 60, '20.45454545453', 108.9795918367347, '50.4545454545', 60, '30.45454545452', 85.71428571428572, '50.4545454545', 60, '34.09090909088', 88.16326530612245], 'random_pos_winner': 0}"
402,43e966dd-66dc-4cef-9c4b-2d942c08efa4,DemoExperiment,"{'date': '2020_01_26', 'time': '15_26_19', 'age': '43', 'gender': 'female', 'feedback': 'No', 'initial_strategy': 'Basically just based it on the candidates choice and belief', 'final_strategy': 'Not really just went with the statistics', 'instructions_duration': 855429, 'task_duration': 360595, 'engaging': '9', 'difficult': '7', 'pol_orient': '6', 'token': 'I3EGKPVQFK'}","{'rand_cond_order': [3, 1, 2], 'rand_res_stored': [[1, 0], [0, 1], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '73.18181818175', 23.26530612244898, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '50.4545454545', 60, '75.90909090902', 56.3265306122449, '50.4545454545', 60, '77.7272727272', 39.183673469387756, '49.54545454541', 60, '77.7272727272', 77.14285714285714], 'random_pos_winner': 0}"
403,ff0a2202-2183-46c2-a1f9-382e5c1dfa38,DemoExperiment,"{'date': '2020_01_26', 'time': '15_30_23', 'age': '36', 'gender': 'female', 'feedback': 'It was interesting, thank you.', 'initial_strategy': 'I tried to consider how much bias was at work. I wondered how much bias was at work in the 2nd and 3rd scenario because they were all getting the same information, filtered in the 2nd scenario, and how legitimate those opinions would be because of that. ', 'final_strategy': ""I think popularity with voters is very important, so even if it's from a less valid place, it has to be considered due to how they represent regular people. "", 'instructions_duration': 586096, 'task_duration': 442305, 'engaging': '9', 'difficult': '8', 'pol_orient': '1', 'token': 'LWROZFF5Q4'}","{'rand_cond_order': [1, 3, 2], 'rand_res_stored': [[1, 0], [1, 0], [1, 0]], 'responses': ['64.99999999994', 11.020408163265307, '61.36363636358', 60, '50.4545454545', 60, '26.81818181816', 84.48979591836735, '54.09090909086', 35.51020408163265, '40.45454545451', 33.06122448979592, '50.4545454545', 11.020408163265307, '40.45454545451', 35.51020408163265], 'random_pos_winner': 0}"
404,d0272784-cf7b-4e45-8e5c-b90020643d4a,DemoExperiment,"{'date': '2020_01_26', 'time': '15_31_11', 'age': '28', 'gender': 'female', 'feedback': 'nice experiment', 'initial_strategy': 'know about the instructions', 'final_strategy': 'analysis the basis.', 'instructions_duration': 616688, 'task_duration': 149283, 'engaging': '10', 'difficult': '5', 'pol_orient': '1', 'token': 'E7NACCUB64'}","{'rand_cond_order': [3, 1, 2], 'rand_res_stored': [[1, 0], [0, 1], [1, 0]], 'responses': ['64.99999999994', 11.020408163265307, '81.36363636356', 63.673469387755105, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '50.4545454545', 102.85714285714286, '64.99999999994', 11.020408163265307, '48.63636363632', 97.9591836734694, '64.99999999994', 11.020408163265307, '47.72727272723', 120, '64.99999999994', 11.020408163265307, '52.27272727268', 101.63265306122449, '64.99999999994', 11.020408163265307, '47.72727272723', 89.38775510204081, '64.99999999994', 11.020408163265307, '56.81818181813', 91.83673469387756, '64.99999999994', 68.57142857142857, '65.90909090903', 69.79591836734694, '87.72727272719', 14.693877551020408, '81.36363636356', 23.26530612244898, '27.72727272725', 63.673469387755105, '66.81818181812', 93.06122448979592], 'random_pos_winner': 1}"
