id,participant,classtype,subjectwise,trialwise
334,f66f6595-e6f6-445b-ac1f-d3363eb06997,DemoExperiment,"{'date': '2020_01_21', 'time': '09_23_39', 'age': '46', 'gender': 'male', 'feedback': 'It was interesting but hard to make an initial choice since they scored evenly on the initial tests.', 'initial_strategy': ""I was basically undecided because the tests didn't provide any clues as to which person was better."", 'final_strategy': ""I relied totally on the voters' impressions of the candidates, whether they knew about all the different topics from the debates or not. "", 'instructions_duration': 725695, 'task_duration': 426692, 'engaging': '10', 'difficult': '4', 'pol_orient': '6', 'token': 'RTERFDKXV7'}","{'rand_cond_order': [2, 1, 3], 'rand_res_stored': [[0, 1], [0, 1], [1, 0]], 'responses': ['64.99999999994', 11.020408163265307, '44.09090909087', 47.755102040816325, '50.4545454545', 60, '31.36363636361', 78.36734693877551, '49.54545454541', 79.59183673469389, '26.81818181816', 102.85714285714286, '50.4545454545', 66.12244897959184, '22.27272727271', 102.85714285714286], 'random_pos_winner': 0}"
335,1c183330-8c62-40f4-a0a1-90c97641f2f1,DemoExperiment,"{'date': '2020_01_21', 'time': '10_45_36', 'age': '39', 'gender': 'male', 'feedback': ""I thought this was challenging and fun. It didn't have quite the specifics I was hoping to analyze such as specific policies for instance. It was still a need concept."", 'initial_strategy': ""I really didn't have information to draw a conclusion so I rated each of the instances as 50/50. It was hard to lean in a direction without concrete evidence."", 'final_strategy': 'I took into consideration whether the information was gathered from different debates. When it was the same debate, I put less confidence in the ratings. ', 'instructions_duration': 614782, 'task_duration': 481206, 'engaging': '8', 'difficult': '7', 'pol_orient': '5', 'token': 'G0ARDVYJ1Q'}","{'rand_cond_order': [1, 2, 3], 'rand_res_stored': [[1, 0], [1, 0], [1, 0]], 'responses': ['64.99999999994', 11.020408163265307, '71.36363636357', 36.734693877551024, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '50.4545454545', 13.46938775510204, '68.6363636363', 35.51020408163265, '50.4545454545', 13.46938775510204, '64.09090909085', 19.591836734693878, '50.4545454545', 11.020408163265307, '63.18181818176', 41.63265306122449], 'random_pos_winner': 1}"
336,4a1c3821-c005-461e-956b-981fc170cc05,DemoExperiment,"{'date': '2020_01_21', 'time': '10_58_10', 'age': '29', 'gender': 'male', 'feedback': 'No.', 'initial_strategy': 'I set my belief as the average number of selection tests each candidate won. In all cases, they were tied at 50%. I started with a low confidence level due to the lack of information.', 'final_strategy': 'I averaged the belief of the two people interviewed and used the lowest confidence level of both candidates.', 'instructions_duration': 444786, 'task_duration': 467635, 'engaging': '8', 'difficult': '2', 'pol_orient': '5', 'token': '7S2EK3QF03'}","{'rand_cond_order': [1, 2, 3], 'rand_res_stored': [[0, 1], [1, 0], [1, 0]], 'responses': ['64.99999999994', 11.020408163265307, '68.6363636363', 60, '50.4545454545', 23.26530612244898, '26.81818181816', 96.73469387755102, '50.4545454545', 23.26530612244898, '26.81818181816', 96.73469387755102, '50.4545454545', 23.26530612244898, '29.54545454543', 94.28571428571429], 'random_pos_winner': 0}"
337,3a70bc55-cc40-439a-9b19-7d64a32cbad4,DemoExperiment,"{'date': '2020_01_21', 'time': '11_24_44', 'age': '18', 'gender': 'male', 'feedback': 'No', 'initial_strategy': 'I looked at the amount of trophies given, and figured that was correlated to the positive reception of a candidate.', 'final_strategy': 'I combined my own opinion with the opinions of the 2 other people', 'instructions_duration': 380492, 'task_duration': 316093, 'engaging': '8', 'difficult': '6', 'pol_orient': '5', 'token': 'UV70VKNBCE'}","{'rand_cond_order': [3, 1, 2], 'rand_res_stored': [[0, 1], [0, 1], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '64.99999999994', 50.204081632653065, '31.36363636361', 28.16326530612245, '23.1818181818', 69.79591836734694, '39.54545454542', 17.142857142857142, '26.81818181816', 44.08163265306123, '43.18181818178', 11.020408163265307, '31.36363636361', 46.53061224489796], 'random_pos_winner': 0}"
338,3e9d65a4-ecf2-4b73-8aa6-e0110b30a031,DemoExperiment,"{'date': '2020_01_21', 'time': '11_27_28', 'age': '52', 'gender': 'female', 'feedback': ""I found it interesting that I trusted the local's opinions more when they had attended different meetings, and hadn't spoken to each other/influenced each other."", 'initial_strategy': 'I relied on the test results.', 'final_strategy': 'I relied on the opinions of the townspeople, and took into consideration whether or not their opinions were influenced. I also considered how much information they had when forming their opinions. Attending two different meetings means more information.', 'instructions_duration': 1048757, 'task_duration': 559251, 'engaging': '10', 'difficult': '6', 'pol_orient': '2', 'token': 'DCLQ1TI6FH'}","{'rand_cond_order': [1, 2, 3], 'rand_res_stored': [[0, 1], [1, 0], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '77.7272727272', 45.30612244897959, '50.4545454545', 22.040816326530614, '80.45454545447', 94.28571428571429, '54.99999999995', 8.571428571428571, '69.54545454539', 91.83673469387756, '50.4545454545', 13.46938775510204, '66.81818181812', 72.24489795918367], 'random_pos_winner': 1}"
339,86aa67da-b364-4dd7-bb81-216977f19903,DemoExperiment,"{'date': '2020_01_21', 'time': '11_56_36', 'age': '43', 'gender': 'female', 'feedback': 'This was a very complex experiment.', 'initial_strategy': ""I just went with intuition above everything else because I didn't yet have the recommendations from the other two. "", 'final_strategy': ""I took into consideration the other two parties' recommendations. "", 'instructions_duration': 2856065, 'task_duration': 193135, 'engaging': '7', 'difficult': '8', 'pol_orient': '5', 'token': 'C0MVFIYBQ6'}","{'rand_cond_order': [1, 3, 2], 'rand_res_stored': [[1, 0], [1, 0], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '78.63636363629', 47.755102040816325, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '58.63636363631', 28.16326530612245, '14.99999999999', 78.36734693877551, '62.27272727267', 17.142857142857142, '28.63636363634', 69.79591836734694, '31.36363636361', 28.16326530612245, '19.54545454544', 91.83673469387756], 'random_pos_winner': 0}"
340,4bd6ddde-bc79-4b56-a2d0-9536da470a25,DemoExperiment,"{'date': '2020_01_21', 'time': '13_01_12', 'age': '36', 'gender': 'male', 'feedback': 'n/a', 'initial_strategy': ""I didn't have any preference when the candidates had the same number of assessment wins "", 'final_strategy': 'I looked at both the preference of my 2 voters and factored in how strong their preference way', 'instructions_duration': 206411, 'task_duration': 228538, 'engaging': '8', 'difficult': '2', 'pol_orient': '3', 'token': 'XCPJ51VE04'}","{'rand_cond_order': [2, 3, 1], 'rand_res_stored': [[1, 0], [0, 1], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '68.6363636363', 18.367346938775512, '50.4545454545', 2.4489795918367347, '30.45454545452', 37.95918367346939, '50.4545454545', 1.2244897959183674, '34.99999999997', 55.10204081632653, '50.4545454545', 1.2244897959183674, '29.54545454543', 72.24489795918367], 'random_pos_winner': 0}"
341,c5f1d102-49af-46a4-ac72-84ee9978190f,DemoExperiment,"{'date': '2020_01_21', 'time': '13_19_09', 'age': '47', 'gender': 'male', 'feedback': 'No comments', 'initial_strategy': 'I went off of the results of the tests. With them being equal I had to put the number in the middle with no certainty as there was no way to differentiate between them.', 'final_strategy': 'I gauged the results of the two people. Results spread over two debates weighed more than one. I gave less credence to the person who was told about a debate performance by the other participant, since that could be tainted data. ', 'instructions_duration': 472866, 'task_duration': 500069, 'engaging': '10', 'difficult': '1', 'pol_orient': '2', 'token': 'PNVGWJRU8P'}","{'rand_cond_order': [3, 2, 1], 'rand_res_stored': [[0, 1], [1, 0], [1, 0]], 'responses': ['64.99999999994', 11.020408163265307, '74.99999999993', 29.387755102040817, '50.4545454545', 0, '35.90909090906', 41.63265306122449, '50.4545454545', 0, '31.36363636361', 66.12244897959184, '50.4545454545', 0, '26.81818181816', 78.36734693877551], 'random_pos_winner': 0}"
342,ba31a559-d44a-4d48-97db-7b79bac7b1a6,DemoExperiment,"{'date': '2020_01_21', 'time': '12_28_10', 'age': '62', 'gender': 'female', 'feedback': 'None', 'initial_strategy': 'I looked at the scores of each.', 'final_strategy': 'Whether or not they were there in person.', 'instructions_duration': 572447, 'task_duration': 215699, 'engaging': '8', 'difficult': '6', 'pol_orient': '6', 'token': 'IQO3OJ3MCT'}","{'rand_cond_order': [1, 2, 3], 'rand_res_stored': [[1, 0], [0, 1], [1, 0]], 'responses': ['64.99999999994', 11.020408163265307, '68.6363636363', 72.24489795918367, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '59.5454545454', 73.46938775510205, '44.99999999996', 90.61224489795919, '40.45454545451', 84.48979591836735, '40.45454545451', 96.73469387755102, '35.90909090906', 90.61224489795919, '35.90909090906', 90.61224489795919], 'random_pos_winner': 0}"
343,ec456da5-d85c-4108-8697-ac224204e555,DemoExperiment,"{'date': '2020_01_21', 'time': '15_12_53', 'age': '28', 'gender': 'male', 'feedback': 'No comment', 'initial_strategy': 'I saw who had the first recommendation, but it was still largely up in the air for me. ', 'final_strategy': 'I decided based on what the people wanted. ', 'instructions_duration': 466605, 'task_duration': 184480, 'engaging': '7', 'difficult': '3', 'pol_orient': '1', 'token': 'MAW1V2OXI3'}","{'rand_cond_order': [1, 3, 2], 'rand_res_stored': [[0, 1], [0, 1], [0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '75.90909090902', 72.24489795918367, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '51.36363636359', 50.204081632653065, '27.72727272725', 74.6938775510204, '47.72727272723', 39.183673469387756, '39.54545454542', 45.30612244897959, '37.72727272724', 50.204081632653065, '15.90909090908', 111.42857142857143], 'random_pos_winner': 0}"
