id,participant,classtype,subjectwise,trialwise
195,0e31f532-84ce-44a0-bcd8-f4482f5e74cb,DemoExperiment,"{'date': '2020_01_08', 'time': '10_13_26', 'age': '33', 'gender': 'female', 'feedback': 'Interesting experiment, thank you!', 'initial_strategy': 'My initial recommendation was based on the candidate that passed more of the tests.', 'final_strategy': 'My final recommendation was based on how strongly the locals felt toward the candidate.', 'instructions_duration': 698152, 'task_duration': 441378, 'engaging': '10', 'difficult': '5', 'pol_orient': '5', 'token': 'QTVYLBPJV4'}","{'rand_cond_order': [2, 1, 3], 'rand_res_stored': [[1, 0, 0], [0, 1, 1], [1, 1, 1]], 'prior_order': [[2, 3], [3, 2], [1, 4]], 'responses': ['64.99999999994', 11.020408163265307, '64.09090909085', 60, '73.18181818175', 84.48979591836735, '68.6363636363', 78.36734693877551, '28.63636363634', 102.85714285714286, '33.18181818179', 96.73469387755102, '17.72727272726', 110.20408163265306, '22.27272727271', 108.9795918367347], 'rand_pos_candidate': [1, 0]}"
178,e03bca34-0819-4779-b020-1938e578a296,DemoExperiment,"{'date': '2020_01_07', 'time': '10_46_30', 'age': '26', 'gender': 'male', 'feedback': 'no', 'initial_strategy': 'I went with logic and my gut feelings.', 'final_strategy': 'I went with my gut feelings.', 'instructions_duration': 286619, 'task_duration': 126841, 'engaging': '10', 'difficult': '5', 'pol_orient': '3', 'token': 'IVJUE4C877'}","{'rand_cond_order': [1, 2, 3], 'rand_res_stored': [[1, 0, 1], [0, 1, 0], [1, 1, 1]], 'prior_order': [[2, 3], [3, 2], [1, 4]], 'responses': ['64.99999999994', 11.020408163265307, '55.90909090904', 68.57142857142857, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '55.90909090904', 63.673469387755105, '62.27272727267', 75.91836734693878, '58.63636363631', 77.14285714285714, '62.27272727267', 69.79591836734694, '18.63636363635', 84.48979591836735, '34.09090909088', 72.24489795918367], 'rand_pos_candidate': [1, 0]}"
179,bfbf5065-4497-4717-b787-e6a93ba873d8,DemoExperiment,"{'date': '2020_01_07', 'time': '08_47_53', 'age': '34', 'gender': 'female', 'feedback': 'n/a', 'initial_strategy': 'I honestly went with the one that had most votes.', 'final_strategy': 'I stuck with the most votes since they people were split.', 'instructions_duration': 329241, 'task_duration': 221345, 'engaging': '10', 'difficult': '5', 'pol_orient': '2', 'token': 'GM0WLYSIHW'}","{'rand_cond_order': [1, 2, 3], 'rand_res_stored': [[1, 1, 0], [0, 1, 0], [1, 1, 1]], 'prior_order': [[2, 3], [3, 2], [1, 4]], 'responses': ['64.99999999994', 11.020408163265307, '64.99999999994', 79.59183673469389, '28.63636363634', 40.40816326530612, '31.36363636361', 36.734693877551024, '78.63636363629', 69.79591836734694, '76.81818181811', 72.24489795918367, '16.81818181817', 41.63265306122449, '18.63636363635', 39.183673469387756], 'rand_pos_candidate': [1, 0]}"
180,202065aa-c290-4523-94ab-340267baa92f,DemoExperiment,"{'date': '2020_01_07', 'time': '11_12_33', 'age': '23', 'gender': 'female', 'feedback': 'No', 'initial_strategy': 'I tried to see which had more in their favor from the initial info.', 'final_strategy': ""I tried to incorporate the local's feelings for the candidates, but ultimately ended up going with my gut a lot."", 'instructions_duration': 158980, 'task_duration': 167470, 'engaging': '1', 'difficult': '5', 'pol_orient': '1', 'token': 'DB804LO9AQ'}","{'rand_cond_order': [1, 2, 3], 'rand_res_stored': [[1, 0, 1], [1, 0, 0], [1, 1, 1]], 'prior_order': [[2, 3], [3, 2], [1, 4]], 'responses': ['64.99999999994', 11.020408163265307, '70.45454545448', 44.08163265306123, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '42.27272727269', 8.571428571428571, '42.27272727269', 11.020408163265307, '56.81818181813', 8.571428571428571, '58.63636363631', 17.142857142857142, '10.45454545454', 104.08163265306122, '11.36363636363', 97.9591836734694], 'rand_pos_candidate': [1, 0]}"
181,b1c13eaf-0afb-438a-82da-675e4ffef395,DemoExperiment,"{'date': '2020_01_07', 'time': '16_23_01', 'age': '26', 'gender': 'female', 'feedback': 'i like the experiment, the way of animation is nice. ', 'initial_strategy': 'i used the strategy, like who did best on test. ', 'final_strategy': 'the favor decision of the persons. ', 'instructions_duration': 967588, 'task_duration': 230455, 'engaging': '10', 'difficult': '4', 'pol_orient': '6', 'token': 'B4IH5WE0FS'}","{'rand_cond_order': [3, 1, 2], 'rand_res_stored': [[0, 0, 0], [1, 0, 0], [1, 0, 1]], 'prior_order': [[2, 3], [3, 2], [1, 4]], 'responses': ['64.99999999994', 11.020408163265307, '67.72727272721', 110.20408163265306, '64.99999999994', 11.020408163265307, '84.09090909083', 105.3061224489796, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '9.54545454545', 120, '70.45454545448', 110.20408163265306, '24.09090909089', 94.28571428571429, '74.09090909084', 83.26530612244898, '84.99999999992', 108.9795918367347, '10.45454545454', 47.755102040816325], 'rand_pos_candidate': [0, 1]}"
182,dbbe9746-bad4-4549-a447-931860dfaa41,DemoExperiment,"{'date': '2020_01_07', 'time': '11_45_27', 'age': '39', 'gender': 'female', 'feedback': 'no', 'initial_strategy': 'I used how many selection tests they passed compared to each other.', 'final_strategy': 'I used the two voters opinions into consideration.', 'instructions_duration': 641771, 'task_duration': 209720, 'engaging': '6', 'difficult': '7', 'pol_orient': '4', 'token': 'G0AJ10RFIF'}","{'rand_cond_order': [1, 2, 3], 'rand_res_stored': [[1, 0, 1], [0, 0, 1], [1, 1, 1]], 'prior_order': [[2, 3], [3, 2], [1, 4]], 'responses': ['64.99999999994', 11.020408163265307, '67.72727272721', 18.367346938775512, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '31.36363636361', 40.40816326530612, '32.2727272727', 17.142857142857142, '66.81818181812', 14.693877551020408, '68.6363636363', 17.142857142857142, '18.63636363635', 29.387755102040817, '21.36363636362', 23.26530612244898], 'rand_pos_candidate': [1, 0]}"
183,d0e199bf-330d-40d8-bce4-1119a8b2022f,DemoExperiment,"{'date': '2020_01_07', 'time': '11_48_51', 'age': '32', 'gender': 'male', 'feedback': 'All instructions were very clear and easy to understand.', 'initial_strategy': 'I based my initial recommendation based on which candidate performed better on the 3 initial tests.', 'final_strategy': 'I took into account both the candidates initial testing as well as adding in the two voters preference. If one voter was more confident in the other candidate but the other was less confident in the opposing one that would\'ve resulted in a higher confidence if the first candidate was the initial tests ""winner""', 'instructions_duration': 340810, 'task_duration': 248643, 'engaging': '9', 'difficult': '5', 'pol_orient': '3', 'token': '09KKZIZ9GZ'}","{'rand_cond_order': [3, 1, 2], 'rand_res_stored': [[0, 0, 0], [0, 1, 0], [1, 1, 0]], 'prior_order': [[2, 3], [3, 2], [1, 4]], 'responses': ['64.99999999994', 11.020408163265307, '73.18181818175', 66.12244897959184, '5', 120, '22.27272727271', 90.61224489795919, '31.36363636361', 53.87755102040816, '40.45454545451', 35.51020408163265, '73.18181818175', 35.51020408163265, '68.6363636363', 29.387755102040817], 'rand_pos_candidate': [0, 1]}"
184,54779fdb-1bc2-468c-99ec-43ee85954c36,DemoExperiment,"{'date': '2020_01_07', 'time': '13_15_29', 'age': '32', 'gender': 'female', 'feedback': 'None', 'initial_strategy': 'If the candidate at least passed two out of the three test that was taken.', 'final_strategy': 'With the candidate passing two out of the three tests and a local picked that candidate as well.', 'instructions_duration': 657758, 'task_duration': 547703, 'engaging': '10', 'difficult': '3', 'pol_orient': '4', 'token': 'YN9BP88XIP'}","{'rand_cond_order': [1, 2, 3], 'rand_res_stored': [[1, 0, 0], [1, 1, 0], [0, 0, 0]], 'prior_order': [[2, 3], [3, 2], [1, 4]], 'responses': ['64.99999999994', 11.020408163265307, '73.18181818175', 29.387755102040817, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '31.36363636361', 23.26530612244898, '25.90909090907', 33.06122448979592, '71.36363636357', 19.591836734693878, '78.63636363629', 26.93877551020408, '17.72727272726', 50.204081632653065, '13.18181818181', 60], 'rand_pos_candidate': [0, 1]}"
185,f712ca68-9ab4-434f-943e-3c8671700bc3,DemoExperiment,"{'date': '2020_01_07', 'time': '13_19_13', 'age': '30', 'gender': 'female', 'feedback': 'No, thank you.', 'initial_strategy': 'I based it just on the results of the initial three tests.', 'final_strategy': 'I compared the results of the votes from the people and the initial three tests to try and make a decision.', 'instructions_duration': 1074035, 'task_duration': 242694, 'engaging': '7', 'difficult': '2', 'pol_orient': '2', 'token': 'AGD5YN508W'}","{'rand_cond_order': [2, 3, 1], 'rand_res_stored': [[1, 1, 0], [0, 0, 0], [1, 0, 0]], 'prior_order': [[2, 3], [3, 2], [1, 4]], 'responses': ['64.99999999994', 11.020408163265307, '72.27272727266', 34.285714285714285, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 42.85714285714286, '59.5454545454', 30.612244897959183, '20.45454545453', 46.53061224489796, '38.63636363633', 30.612244897959183, '45.90909090905', 20.816326530612244, '48.63636363632', 12.244897959183675], 'rand_pos_candidate': [0, 1]}"
186,d23a3704-c580-44cc-a803-831447d0564c,DemoExperiment,"{'date': '2020_01_07', 'time': '14_13_42', 'age': '28', 'gender': 'male', 'feedback': 'No', 'initial_strategy': 'Based on who did better in polling. ', 'final_strategy': 'Factored in the answers of the two people interviewed. ', 'instructions_duration': 339336, 'task_duration': 134612, 'engaging': '10', 'difficult': '5', 'pol_orient': '1', 'token': '3DIABBY4QI'}","{'rand_cond_order': [2, 3, 1], 'rand_res_stored': [[1, 1, 0], [0, 0, 0], [0, 1, 0]], 'prior_order': [[2, 3], [3, 2], [1, 4]], 'responses': ['64.99999999994', 11.020408163265307, '68.6363636363', 46.53061224489796, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '68.6363636363', 97.9591836734694, '65.90909090903', 94.28571428571429, '14.99999999999', 111.42857142857143, '24.99999999998', 99.18367346938776, '40.45454545451', 50.204081632653065, '36.81818181815', 62.44897959183674], 'rand_pos_candidate': [0, 1]}"
