id,participant,classtype,subjectwise,trialwise
98,5024622d-5268-4cac-8c73-724834a5bd05,DemoExperiment,"{'date': '2019_12_17', 'time': '18_23_17', 'age': '26', 'gender': 'female', 'feedback': 'no', 'initial_strategy': 'Who got the most questions right.', 'final_strategy': 'What the locals thought on average/', 'instructions_duration': 501555, 'task_duration': 211215, 'engaging': '7', 'difficult': '7', 'pol_orient': '2', 'token': '4VYGDOYAPG'}","{'rand_cond_order': [2, 1, 3], 'rand_res_stored': [[1, 1, 0], [1, 1, 1], [0, 0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '61.36363636358', 41.63265306122449, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '21.36363636362', 60, '28.63636363634', 60, '21.36363636362', 72.24489795918367, '60.45454545449', 69.79591836734694, '72.27272727266', 62.44897959183674, '66.81818181812', 60], 'rand_pos_candidate': [1, 0]}"
99,69f8d14b-055c-4dd2-8053-202fb93a985e,DemoExperiment,"{'date': '2019_12_17', 'time': '18_59_09', 'age': '36', 'gender': 'female', 'feedback': 'No comment.', 'initial_strategy': 'I based it on how they performed on the tests.', 'final_strategy': 'I looked at how they performed on the tests and how the voters viewed them after the debates.', 'instructions_duration': 249714, 'task_duration': 216561, 'engaging': '5', 'difficult': '2', 'pol_orient': '4', 'token': '3VP14HCG21'}","{'rand_cond_order': [2, 1, 3], 'rand_res_stored': [[1, 1, 0], [1, 1, 1], [0, 1, 0]], 'responses': ['64.99999999994', 11.020408163265307, '68.6363636363', 29.387755102040817, '26.81818181816', 35.51020408163265, '34.09090909088', 20.816326530612244, '13.18181818181', 55.10204081632653, '13.18181818181', 34.285714285714285, '59.5454545454', 17.142857142857142, '54.99999999995', 26.93877551020408], 'rand_pos_candidate': [1, 0]}"
100,1a181e7a-69f7-49bf-8fcc-2142f3d419f9,DemoExperiment,"{'date': '2019_12_17', 'time': '19_14_59', 'age': '40', 'gender': 'female', 'feedback': ""The last one was trickier for me. It's hard to predict things like this with no real political data"", 'initial_strategy': 'I went with the popular vote, but left room for change. ', 'final_strategy': 'I did alter my view when needed, but never to the other candidates side, just tweaking.', 'instructions_duration': 630141, 'task_duration': 257183, 'engaging': '8', 'difficult': '5', 'pol_orient': '2', 'token': 'LHH5KI69TJ'}","{'rand_cond_order': [2, 1, 3], 'rand_res_stored': [[0, 1, 1], [1, 1, 1], [1, 0, 0]], 'responses': ['64.99999999994', 11.020408163265307, '75.90909090902', 71.0204081632653, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '24.99999999998', 90.61224489795919, '29.54545454543', 80.81632653061224, '5', 120, '5.90909090909', 116.3265306122449, '43.18181818178', 12.244897959183675, '44.99999999996', 8.571428571428571], 'rand_pos_candidate': [1, 0]}"
101,a1e45d26-e908-42d8-8c46-070e726773aa,DemoExperiment,"{'date': '2019_12_17', 'time': '19_22_58', 'age': '28', 'gender': 'male', 'feedback': 'no', 'initial_strategy': 'I chose based on who did better on the tests', 'final_strategy': 'I chose based mainly on what the locals said on top of the test results', 'instructions_duration': 478909, 'task_duration': 155816, 'engaging': '5', 'difficult': '2', 'pol_orient': '4', 'token': '3OKFIKMZIR'}","{'rand_cond_order': [1, 3, 2], 'rand_res_stored': [[1, 1, 1], [0, 0, 1], [1, 0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '50.4545454545', 11.020408163265307, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '76.81818181811', 57.55102040816327, '54.99999999995', 37.95918367346939, '80.45454545447', 68.57142857142857, '83.18181818174', 72.24489795918367, '50.4545454545', 60, '49.54545454541', 60], 'rand_pos_candidate': [1, 0]}"
102,ebeeb262-2d2f-4ea2-90b2-c745527ef83a,DemoExperiment,"{'date': '2019_12_17', 'time': '19_23_57', 'age': '25', 'gender': 'male', 'feedback': 'No', 'initial_strategy': 'I trust my gut', 'final_strategy': 'Trust my gut', 'instructions_duration': 1268936, 'task_duration': 87456, 'engaging': '9', 'difficult': '9', 'pol_orient': '6', 'token': '6SQFOV39EA'}","{'rand_cond_order': [1, 3, 2], 'rand_res_stored': [[1, 1, 1], [0, 1, 0], [1, 0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '40.45454545451', 79.59183673469389, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '68.6363636363', 61.224489795918366, '37.72727272724', 69.79591836734694, '57.72727272722', 63.673469387755105, '34.09090909088', 82.04081632653062, '61.36363636358', 51.42857142857143, '51.36363636359', 84.48979591836735], 'rand_pos_candidate': [1, 0]}"
103,9a2f9d94-6fd1-4a81-b780-826b2c04e948,DemoExperiment,"{'date': '2019_12_17', 'time': '16_59_11', 'age': '27', 'gender': 'male', 'feedback': 'no', 'initial_strategy': 'Favor went to the candidate that won 2/3 of the initial screening tests', 'final_strategy': 'Keeping the initial favor in mind, confidence was either slight increased or slight decreased based on the 2 voters opinons.', 'instructions_duration': 295602, 'task_duration': 287099, 'engaging': '8', 'difficult': '4', 'pol_orient': '4', 'token': 'T7YF5P5YV5'}","{'rand_cond_order': [3, 2, 1], 'rand_res_stored': [[1, 0, 0], [1, 1, 0], [1, 1, 1]], 'responses': ['64.99999999994', 11.020408163265307, '68.6363636363', 20.816326530612244, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '56.81818181813', 14.693877551020408, '67.72727272721', 28.16326530612245, '45.90909090905', 9.795918367346939, '49.54545454541', 4.8979591836734695, '13.18181818181', 57.55102040816327, '19.54545454544', 45.30612244897959], 'rand_pos_candidate': [1, 0]}"
104,1243d30b-3643-4fb3-bcb9-ab478f067088,DemoExperiment,"{'date': '2019_12_17', 'time': '19_02_37', 'age': '30', 'gender': 'male', 'feedback': 'No', 'initial_strategy': 'Just rough math based on initial tests', 'final_strategy': 'Added in citizen opinions', 'instructions_duration': 321798, 'task_duration': 172745, 'engaging': '7', 'difficult': '2', 'pol_orient': '2', 'token': 'FHQDHQU43H'}","{'rand_cond_order': [1, 3, 2], 'rand_res_stored': [[0, 0, 0], [1, 1, 0], [0, 0, 1]], 'responses': ['64.99999999994', 11.020408163265307, '59.5454545454', 23.26530612244898, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '5', 101.63265306122449, '18.63636363635', 33.06122448979592, '66.81818181812', 48.9795918367347, '72.27272727266', 63.673469387755105, '34.09090909088', 40.40816326530612, '44.09090909087', 57.55102040816327], 'rand_pos_candidate': [0, 1]}"
105,1924381d-9f1d-45ad-bd7c-62ff7f72d7f3,DemoExperiment,"{'date': '2019_12_17', 'time': '20_53_46', 'age': '30', 'gender': 'male', 'feedback': 'Instructions were a little convoluted. ', 'initial_strategy': 'I recommended whoever did better on the first three initial tests.', 'final_strategy': 'I used the information from the two interviews with voters to adjust my initial recommendation. ', 'instructions_duration': 648021, 'task_duration': 705753, 'engaging': '7', 'difficult': '7', 'pol_orient': '3', 'token': 'WPA6XIWZPW'}","{'rand_cond_order': [2, 3, 1], 'rand_res_stored': [[0, 1, 1], [0, 1, 0], [1, 1, 1]], 'responses': ['64.99999999994', 11.020408163265307, '54.99999999995', 4.8979591836734695, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '26.81818181816', 17.142857142857142, '29.54545454543', 11.020408163265307, '68.6363636363', 47.755102040816325, '64.09090909085', 35.51020408163265, '13.18181818181', 78.36734693877551, '26.81818181816', 47.755102040816325], 'rand_pos_candidate': [1, 0]}"
106,bc95dd9b-256d-49ad-bf05-098ec1ef0c0d,DemoExperiment,"{'date': '2019_12_18', 'time': '19_25_24', 'age': '31', 'gender': 'male', 'feedback': 'This survey pays less than the minimum wage than my local area.', 'initial_strategy': 'I used my intuition.', 'final_strategy': 'I looked at the locals and used my intuition again.', 'instructions_duration': 563602, 'task_duration': 95624, 'engaging': '10', 'difficult': '7', 'pol_orient': '1', 'token': 'JOSGV7H022'}","{'rand_cond_order': [2, 3, 1], 'rand_res_stored': [[0, 0, 1], [0, 1, 1], [0, 0, 0]], 'responses': ['64.99999999994', 11.020408163265307, '73.18181818175', 48.9795918367347, '64.99999999994', 11.020408163265307, '64.99999999994', 12.244897959183675, '26.81818181816', 40.40816326530612, '23.1818181818', 56.3265306122449, '75.90909090902', 37.95918367346939, '81.36363636356', 50.204081632653065, '5', 69.79591836734694, '18.63636363635', 64.89795918367346], 'rand_pos_candidate': [0, 1]}"
107,2900aeab-61d2-4960-90fa-55deea87cdf9,DemoExperiment,"{'date': '2019_12_18', 'time': '18_27_47', 'age': '41', 'gender': 'female', 'feedback': ""This was a strange and interesting experiment. I hadn't before considered that canidates may be analytically chosen like this. "", 'initial_strategy': 'Yes, I looked at what information was provided and if they performed better on the three separate tests. If they did best out of 3, I leaned toward that candidate. ', 'final_strategy': 'Yes, I took into consideration the information and opinions provided by the local citizens who attended the town hall meetings. ', 'instructions_duration': 384627, 'task_duration': 399007, 'engaging': '8', 'difficult': '9', 'pol_orient': '1', 'token': 'O8UQOD7GZC'}","{'rand_cond_order': [2, 1, 3], 'rand_res_stored': [[1, 0, 1], [1, 1, 1], [0, 1, 0]], 'responses': ['64.99999999994', 11.020408163265307, '64.99999999994', 60, '26.81818181816', 58.775510204081634, '31.36363636361', 35.51020408163265, '12.27272727272', 90.61224489795919, '44.99999999996', 56.3265306122449, '64.09090909085', 35.51020408163265, '56.81818181813', 47.755102040816325], 'rand_pos_candidate': [1, 0]}"
